Bus ID,Bus Name,Bus Type,Departure Time,Arrival Time,Journey Duration,Lowest Price(INR),Highest Price(INR),Starting Point,Destination,Starting Point Parent,Destination Point Parent
1,KSRTC (Kerala) - 79,Swift-Gajaraj Multi Axle Volvo AC Sleeper Bus (2+1),00:25,06:40,06h 15m,1191.0,1191.0,"L and t bypass jn, neelambur",Satellite Bus Stand,Coimbatore,Bangalore
2,KSRTC (Kerala) - 3782,Swift Deluxe Non AC Air Bus (2+2),00:40,06:55,06h 15m,637.0,637.0,L and t neelambur bypass jn,Satellite Bus Stand,Coimbatore,Bangalore
3,KSRTC (Kerala) - 3786,AC MULTI AXLE,00:47,07:02,06h 15m,914.0,914.0,"L and t bypass jn, neelambur",Satellite Bus Stand,Coimbatore,Bangalore
4,KSRTC (Kerala) - 130,SWIFT-GARUDA A/C SEATER BUS,01:10,07:25,06h 15m,914.0,914.0,L and t neelambur bypass jn,Satellite Bus Stand,Coimbatore,Bangalore
5,KSRTC (Kerala) - 81,Swift-Gajaraj Multi Axle Volvo AC Sleeper Bus (2+1),01:25,07:40,06h 15m,1191.0,1191.0,"L and t bypass jn, neelambur",Satellite Bus Stand,Coimbatore,Bangalore
6,KSRTC (Kerala) - 1313,Super Express Non AC Seater Air Bus (2+2),22:56,06:21,07h 25m,1242.0,1242.0,Gandhipuram,Satellite Bus Stand,Coimbatore,Bangalore
7,SST Limoliner,Bharat Benz A/C Sleeper (2+1),22:30,05:15,06h 45m,1199.0,1799.0,Omni Bus Stand,Madiwala,Coimbatore,Bangalore
8,Delta Transports Pvt Ltd,Bharat Benz A/C Sleeper (2+1),22:30,06:10,07h 40m,2429.0,2929.0,Gandhipuram,Majestic,Coimbatore,Bangalore
9,Jubile Travels,Bharat Benz A/C Sleeper (2+1),22:50,04:50,06h 00m,1800.0,2400.0,Gandhipuram,Silk Board,Coimbatore,Bangalore
10,AdCity Travels,Bharat Benz A/C Sleeper (2+1),22:30,05:00,06h 30m,1799.0,2099.0,Gandhipuram,Madiwala,Coimbatore,Bangalore
11,No 1 Air Travels,Bharat Benz A/C Sleeper (2+1),22:30,05:30,07h 00m,1500.0,1700.0,Gandhipuram,Madiwala,Coimbatore,Bangalore
12,Dream Line Travels Pvt Ltd,VE A/C Sleeper (2+1),23:15,06:00,06h 45m,1620.0,2670.0,Omni Bus Stand,Madiwala,Coimbatore,Bangalore
13,SSVM Travels,Bharat Benz A/C Sleeper (2+1),22:45,05:30,06h 45m,1700.0,2000.0,Gandhipuram,Majestic,Coimbatore,Bangalore
