Bus ID,Bus Name,Bus Type,Departure Time,Arrival Time,Journey Duration,Lowest Price(INR),Highest Price(INR),Starting Point,Destination,Starting Point Parent,Destination Point Parent
1,WBTC (CTC) BARASAT-DIGHA via Bally - 38|04:10,Non AC Seater (2+3),04:10,07:40,03h 30m,146.0,146.0,Dunlop,Digha,Kolkata,Digha
2,WBTC (CTC) Belgachia - Digha via Esplanade - 51|05:30,Non AC Seater (2+3),05:30,10:30,05h 00m,155.0,155.0,Belgharia,Digha,Kolkata,Digha
3,WBTC (CTC) Barasat-Digha Via Bally (AC VOLVO) - 201|05:45,A/C Seater (2+2),05:45,09:00,03h 15m,380.0,380.0,Dunlop,Digha,Kolkata,Digha
4,"WBTC (CTC) BARASAT-DIGHA via Esplanade, Karunamoyee,Airport - 206|06:00",Non AC Seater (2+3),06:00,10:45,04h 45m,156.0,156.0,Karunamoyee,Digha,Kolkata,Digha
5,WBTC (CTC) Khidderpur - Digha - 97|06:05,Non AC Seater (2+3),06:05,11:05,05h 00m,151.0,151.0,Khidirpur,Digha,Kolkata,Digha
6,WBTC (CTC) Joka - Tollygunge - Digha - 99|06:15,Non AC Seater (2+3),06:15,12:15,06h 00m,157.0,157.0,Joka,Digha,Kolkata,Digha
7,WBTC (CTC) KARUNAMOYEE (Salt Lake) - DIGHA (AC VOLVO) - 94|06:15,A/C Seater (2+2),06:15,10:25,04h 10m,420.0,420.0,Karunamoyee,Digha,Kolkata,Digha
8,WBTC (CTC) Belgachia - Digha via Esplanade - 51|06:15,Non AC Seater (2+3),06:15,10:30,04h 15m,145.0,145.0,Esplanade,Digha,Kolkata,Digha
9,WBTC (CTC) KARUNAMOYEE (Salt Lake) - DIGHA (AC VOLVO) - 94|06:25,A/C Seater (2+2),06:25,10:25,04h 00m,420.0,420.0,Baguihati,Digha,Kolkata,Digha
10,WBTC (CTC) Joka - Tollygunge - Digha - 99|06:30,Non AC Seater (2+3),06:30,12:45,06h 15m,157.0,157.0,Joka,Digha,Kolkata,Digha
