Bus ID,Bus Name,Bus Type,Departure Time,Arrival Time,Journey Duration,Lowest Price(INR),Highest Price(INR),Starting Point,Destination,Starting Point Parent,Destination Point Parent
1,UPSRTC - WAH0279,Ordinary Non AC Seater 2+3,02:32,08:00,05h 28m,296.0,296.0,Sarai Kale Khan,Agra ISBT,Delhi,Agra
2,UPSRTC - WAH0236,Ordinary Non AC Seater 2+3,04:17,20:49,16h 32m,386.0,386.0,Sarai Kale Khan,BIJLIGHAR,Delhi,Agra
3,UPSRTC - GNA0136,Ordinary Non AC Seater 2+3,05:15,09:15,04h 00m,348.0,348.0,NOIDA BUS STAND,Agra ISBT,Delhi,Agra
4,UPSRTC - WAH0271,Ordinary Non AC Seater 2+3,06:00,10:45,04h 45m,296.0,296.0,ISBT Kashmiri Gate,Agra ISBT,Delhi,Agra
5,UPSRTC - WAH0269,Ordinary Non AC Seater 2+3,06:00,10:15,04h 15m,308.0,308.0,Sarai Kale Khan,BIJLIGHAR,Delhi,Agra
6,UPSRTC - WAH0274,Ordinary Non AC Seater 2+3,06:16,12:00,05h 44m,308.0,308.0,ISBT Kashmiri Gate,BIJLIGHAR,Delhi,Agra
7,UPSRTC - WAH0277,Ordinary Non AC Seater 2+3,06:31,12:15,05h 44m,308.0,308.0,ISBT Kashmiri Gate,BIJLIGHAR,Delhi,Agra
8,UPSRTC - ETD0018,Ordinary Non AC Seater 2+3,07:00,12:00,05h 00m,296.0,296.0,Sarai Kale Khan,Agra ISBT,Delhi,Agra
9,UPSRTC - GNA0128,Ordinary Non AC Seater 2+3,07:00,11:00,04h 00m,348.0,348.0,NOIDA BUS STAND,Agra ISBT,Delhi,Agra
10,UPSRTC - GNA0132,Ordinary Non AC Seater 2+3,07:02,11:03,04h 01m,348.0,348.0,NOIDA BUS STAND,Agra ISBT,Delhi,Agra
11,UPSRTC - GNA0005,Ordinary Non AC Seater 2+3,08:00,12:00,04h 00m,348.0,348.0,NOIDA BUS STAND,Agra ISBT,Delhi,Agra
